video_id,set_id,player,n_events,n_displacements,mean_confidence,mean_forward_position,lateral_position_std,forward_position_std,mean_interstroke_displacement,rightward_displacement_rate,netward_displacement_rate,right_baselineward_displacement_rate,smash_rate,net_attack_rate,lift_clear_rate,smash_after_large_displacement_rate,rear_court_smash_rate
41,1,A,87,56,0.8143192718083831,0.3379011498322582,0.1492139041555989,0.20008417033066714,0.31602219535188514,0.39285714285714285,0.39285714285714285,0.16071428571428573,0.05747126436781609,0.41379310344827586,0.21839080459770116,1.0,1.0
41,1,B,134,103,0.7378097754805836,0.5102750160800877,0.15678952466439514,0.1589180306885675,0.298837639656584,0.39805825242718446,0.4174757281553398,0.18446601941747573,0.1044776119402985,0.3582089552238806,0.27611940298507465,0.5714285714285714,0.7857142857142857
41,2,A,194,156,0.6922441276231992,0.5154020091922012,0.15680321034705197,0.15972995721633443,0.3057613959423655,0.3782051282051282,0.46153846153846156,0.16025641025641027,0.06701030927835051,0.3865979381443299,0.16494845360824742,0.6153846153846154,0.7692307692307693
41,2,B,81,51,0.7146602357611244,0.40067940911876015,0.11170313971439434,0.16358460762619262,0.28599374768110325,0.35294117647058826,0.3137254901960784,0.1568627450980392,0.06172839506172839,0.5061728395061729,0.2222222222222222,0.6,1.0
41,3,A,203,165,0.6945152282714844,0.45946375869691664,0.16273304425462132,0.19961714332844346,0.3145855914707839,0.40606060606060607,0.47878787878787876,0.1696969696969697,0.08866995073891626,0.39901477832512317,0.15270935960591134,0.7777777777777778,0.9444444444444444
41,3,B,154,121,0.696706532464399,0.4856701601756277,0.14831710415714017,0.1703465476996413,0.2808714420463843,0.371900826446281,0.4049586776859504,0.1652892561983471,0.08441558441558442,0.44155844155844154,0.2662337662337662,0.8461538461538461,0.8461538461538461
42,1,A,152,115,0.6111445242146912,0.44240944558068324,0.18123202651382636,0.16316899486948738,0.3029892676529962,0.4,0.48695652173913045,0.1826086956521739,0.07236842105263158,0.21710526315789475,0.3092105263157895,0.2727272727272727,0.9090909090909091
42,1,B,34,13,0.7326268737806994,0.14279802065507016,0.16619924474540612,0.11052886676689361,0.19513769552706497,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.2647058823529412,0.08823529411764706,0.4117647058823529,0.0,1.0
42,2,A,39,18,0.7024841629541837,0.24072882413673094,0.13126895102911323,0.15085259891895508,0.24385590824244632,0.5,0.3333333333333333,0.16666666666666666,0.07692307692307693,0.41025641025641024,0.2564102564102564,0.0,1.0
42,2,B,144,111,0.6113445161738329,0.5059788417485025,0.16008455422052503,0.16486843328139056,0.2971798618324548,0.38738738738738737,0.44144144144144143,0.10810810810810811,0.1597222222222222,0.3194444444444444,0.18055555555555555,0.5217391304347826,0.782608695652174
43,1,A,136,104,0.5194163277526113,0.48746004613006816,0.13419871770731626,0.140435794788477,0.2426782549291964,0.4230769230769231,0.3557692307692308,0.16346153846153846,0.029411764705882353,0.22058823529411764,0.22058823529411764,0.75,0.5
43,1,B,16,4,0.7065650392323732,0.2185180652886629,0.13856856167844098,0.11722317576210887,0.24601201993222474,0.5,0.25,0.0,0.1875,0.0,0.5625,0.0,1.0
43,2,A,55,30,0.6613108112053437,0.35034640343351797,0.11426597749630252,0.16662876160713427,0.27029936151999656,0.43333333333333335,0.36666666666666664,0.26666666666666666,0.10909090909090909,0.2727272727272727,0.14545454545454545,0.8333333333333334,1.0
43,2,B,128,95,0.613408099510707,0.52522555552423,0.1459593338480691,0.14165387946793295,0.2522718657506413,0.3157894736842105,0.4105263157894737,0.14736842105263157,0.109375,0.3046875,0.125,0.5714285714285714,0.6428571428571429
44,1,A,178,142,0.7703698683488235,0.4827884596385313,0.1515490763771362,0.15811800454799152,0.30400572195530057,0.4014084507042254,0.39436619718309857,0.14084507042253522,0.12359550561797752,0.43258426966292135,0.19101123595505617,0.8636363636363636,0.8636363636363636
44,1,B,142,108,0.7518625340201486,0.3677375322063519,0.146002782892676,0.17450816401324992,0.3058891589067123,0.4074074074074074,0.42592592592592593,0.2222222222222222,0.07042253521126761,0.4084507042253521,0.33098591549295775,0.7,1.0
44,2,A,34,17,0.7778401734197841,0.3196707910529393,0.1430207046420425,0.1887748250456327,0.34734981081872723,0.47058823529411764,0.35294117647058826,0.17647058823529413,0.11764705882352941,0.38235294117647056,0.20588235294117646,1.0,1.0
44,2,B,55,35,0.7447118791666898,0.4911688804626465,0.154943487687605,0.14576891447847157,0.25232167508241893,0.37142857142857144,0.3142857142857143,0.2571428571428571,0.05454545454545454,0.2727272727272727,0.3090909090909091,0.6666666666666666,1.0
44,3,A,151,116,0.7215961078736955,0.4574458278678604,0.1444071881432005,0.19016463313771745,0.29301713849043415,0.3793103448275862,0.3879310344827586,0.12931034482758622,0.10596026490066225,0.5231788079470199,0.11920529801324503,0.75,0.875
44,3,B,183,150,0.716582896279507,0.43944807525703816,0.14135232431774372,0.16112600330536428,0.2789244164081341,0.44,0.4,0.22666666666666666,0.08743169398907104,0.37158469945355194,0.2677595628415301,0.875,0.875
