row_index,video_id,set_id,rally_id,event_rank,player,true_side_at_event,predicted_stroke_type,confidence,lateral_position,forward_position,delta_lateral,delta_forward,interstroke_displacement
0,41,1,1,1,B,Bottom,short service,0.9032222628593444,0.5364023447036743,0.5293070077896118,,,
2,41,1,1,3,B,Bottom,clear,0.9538081288337708,0.30157598853111267,0.3068901300430298,-0.23482635617256165,-0.22241687774658203,0.3234388428433122
3,41,1,1,4,A,Top,drop,0.92035710811615,0.3417540192604065,0.006903705652803183,,,
4,41,1,1,5,B,Bottom,lob,0.7157160043716431,0.725810170173645,0.6423474550247192,0.42423418164253235,0.33545732498168945,0.5408384765877701
5,41,1,1,6,A,Top,drop,0.8900923728942871,0.6004142463207245,0.03811526298522949,0.258660227060318,0.03121155733242631,0.260536512554403
6,41,1,1,7,B,Bottom,push,0.386597067117691,0.2997289299964905,0.4600728750228882,-0.42608124017715454,-0.18227458000183105,0.46343202926183896
7,41,1,1,8,A,Top,drop,0.8990360498428345,0.705043375492096,0.15950694680213928,0.10462912917137146,0.12139168381690979,0.16025977527459637
8,41,1,1,9,B,Bottom,cross-court net shot,0.956777811050415,0.2613174319267273,0.5287667512893677,-0.038411498069763184,0.06869387626647949,0.07870382341714928
10,41,1,1,11,B,Bottom,clear,0.9374725818634032,0.3115193843841553,0.24707317352294922,0.05020195245742798,-0.28169357776641846,0.2861319761672629
12,41,1,1,13,B,Bottom,none,0.6249493956565857,0.6136065721511841,0.5762780904769897,0.3020871877670288,0.3292049169540405,0.4468025809680477
13,41,1,2,1,B,Bottom,short service,0.9499715566635132,0.46733346581459045,0.5349208116531372,,,
14,41,1,2,2,A,Top,push,0.9246527552604676,0.29526787996292114,0.5123709440231323,,,
15,41,1,2,3,B,Bottom,clear,0.939007580280304,0.6175224184989929,0.31389403343200684,0.15018895268440247,-0.22102677822113037,0.2672256690500567
16,41,1,2,4,A,Top,clear,0.9663566946983336,0.6652458012104034,0.09474664181470871,0.3699779212474823,-0.4176243022084236,0.5579370215406761
17,41,1,2,5,B,Bottom,clear,0.9312026500701904,0.19815585017204285,0.3702737092971802,-0.4193665683269501,0.05637967586517334,0.42313944094232636
18,41,1,3,1,A,Top,short service,0.8375176787376404,0.4624824523925781,0.36032363772392273,,,
19,41,1,3,2,B,Bottom,none,0.247155100107193,0.3496459722518921,0.6257387399673462,,,
20,41,1,4,1,A,Top,net shot,0.6034595370292664,0.5975919961929321,0.49886196851730347,,,
21,41,1,5,1,A,Top,short service,0.9641773104667664,0.5333844721317291,0.3708745241165161,,,
22,41,1,5,2,B,Bottom,push,0.7344098091125488,0.6326075196266174,0.676374077796936,,,
24,41,1,5,4,B,Bottom,return net,0.4135305881500244,0.4228583574295044,0.4561260938644409,-0.20974916219711304,-0.22024798393249512,0.3041445141190606
26,41,1,5,6,B,Bottom,return net,0.5891494154930115,0.5603375434875488,0.7045063972473145,0.13747918605804443,0.24838030338287354,0.2838895942223855
27,41,1,5,7,A,Top,lob,0.8855139017105103,0.42963719367980957,0.6758368611335754,-0.10374727845191956,0.3049623370170593,0.3221265664068808
28,41,1,5,8,B,Bottom,smash,0.9405110478401184,0.5833835601806641,0.3006863594055176,0.023046016693115234,-0.4038200378417969,0.4044771215383753
29,41,1,5,9,A,Top,return net,0.5265647172927856,0.5034179985523224,0.28085145354270935,0.07378080487251282,-0.3949854075908661,0.40181722135488224
