video_id,rally_id,event_rank,Frame,OriginalFrame,TimeSec,X,Y,event_reason
42,66,1,26,65786,2192.866667,,,phase02_ground_truth_label
42,66,2,52,65812,2193.733333,,,phase02_ground_truth_label
42,66,3,80,65840,2194.666667,,,phase02_ground_truth_label
42,66,4,107,65867,2195.566667,,,phase02_ground_truth_label
42,66,5,116,65876,2195.866667,,,phase02_ground_truth_label
42,66,6,150,65910,2197.000000,,,phase02_ground_truth_label
42,66,7,163,65923,2197.433333,,,phase02_ground_truth_label
42,66,8,185,65945,2198.166667,,,phase02_ground_truth_label
42,66,9,198,65958,2198.600000,,,phase02_ground_truth_label
42,66,10,217,65977,2199.233333,,,phase02_ground_truth_label
42,66,11,244,66004,2200.133333,,,phase02_ground_truth_label
42,66,12,275,66035,2201.166667,,,phase02_ground_truth_label
42,66,13,289,66049,2201.633333,,,phase02_ground_truth_label
42,66,14,317,66077,2202.566667,,,phase02_ground_truth_label
42,66,15,355,66115,2203.833333,,,phase02_ground_truth_label
42,66,16,384,66144,2204.800000,,,phase02_ground_truth_label
42,66,17,405,66165,2205.500000,,,phase02_ground_truth_label
42,66,18,432,66192,2206.400000,,,phase02_ground_truth_label
