video_id,rally_id,event_rank,clip_id,feature_source,window_strategy,player_order,event_frame_original,prev_event_frame_original,next_event_frame_original,event_offset_frames,window_start_original,window_end_original,frame_count,joints_shape,pos_shape,shuttle_shape,joints_npy,pos_npy,shuttle_npy,validity_npz,source_video,worker_device
41,1,1,41_1_1_1,yolo26x_tracked,bst-compatible,"Top,Bottom",9731,,9754,15,9716,9760,45,45x2x17x2,45x2x2,45x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_1_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_1_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_1_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_1_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,1,3,41_1_1_3,yolo26x_tracked,bst-compatible,"Top,Bottom",9787,9754,9817,33,9754,9823,70,70x2x17x2,70x2x2,70x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_3_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_3_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_3_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_3_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,1,5,41_1_1_5,yolo26x_tracked,bst-compatible,"Top,Bottom",9851,9817,9894,34,9817,9900,84,84x2x17x2,84x2x2,84x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_5_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_5_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_5_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_5_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,1,7,41_1_1_7,yolo26x_tracked,bst-compatible,"Top,Bottom",9916,9894,9951,22,9894,9957,64,64x2x17x2,64x2x2,64x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_7_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_7_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_7_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_7_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,1,9,41_1_1_9,yolo26x_tracked,bst-compatible,"Top,Bottom",9975,9951,10004,24,9951,10010,60,60x2x17x2,60x2x2,60x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_9_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_9_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_9_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_9_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,1,11,41_1_1_11,yolo26x_tracked,bst-compatible,"Top,Bottom",10048,10004,10083,44,10004,10089,86,86x2x17x2,86x2x2,86x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_11_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_11_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_11_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_11_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,1,13,41_1_1_13,yolo26x_tracked,bst-compatible,"Top,Bottom",10109,10083,,26,10083,10123,41,41x2x17x2,41x2x2,41x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_13_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_13_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_13_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_13_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,2,2,41_1_2_2,yolo26x_tracked,bst-compatible,"Top,Bottom",10578,10551,10608,27,10551,10614,64,64x2x17x2,64x2x2,64x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_2_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_2_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_2_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_2_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,2,4,41_1_2_4,yolo26x_tracked,bst-compatible,"Top,Bottom",10648,10608,10681,40,10608,10687,80,80x2x17x2,80x2x2,80x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_4_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_4_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_4_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_4_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,3,1,41_1_3_1,yolo26x_tracked,bst-compatible,"Top,Bottom",10999,,11029,15,10984,11035,52,52x2x17x2,52x2x2,52x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_3_1_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_3_1_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_3_1_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_3_1_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,4,1,41_1_4_2,yolo26x_tracked,bst-compatible,"Top,Bottom",11384,,,15,11369,11398,30,30x2x17x2,30x2x2,30x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_4_2_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_4_2_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_4_2_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_4_2_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,5,2,41_1_5_2,yolo26x_tracked,bst-compatible,"Top,Bottom",11756,11732,11790,24,11732,11796,65,65x2x17x2,65x2x2,65x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_2_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_2_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_2_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_2_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,5,4,41_1_5_4,yolo26x_tracked,bst-compatible,"Top,Bottom",11805,11790,11832,15,11790,11838,49,49x2x17x2,49x2x2,49x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_4_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_4_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_4_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_4_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,5,6,41_1_5_6,yolo26x_tracked,bst-compatible,"Top,Bottom",11860,11832,11888,28,11832,11894,63,63x2x17x2,63x2x2,63x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_6_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_6_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_6_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_6_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,5,8,41_1_5_8,yolo26x_tracked,bst-compatible,"Top,Bottom",11940,11888,11954,45,11895,11960,66,66x2x17x2,66x2x2,66x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_8_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_8_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_8_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_8_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,5,10,41_1_5_10,yolo26x_tracked,bst-compatible,"Top,Bottom",11980,11954,11994,26,11954,12000,47,47x2x17x2,47x2x2,47x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_10_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_10_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_10_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_10_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,6,1,41_1_6_3,yolo26x_tracked,bst-compatible,"Top,Bottom",12770,,12807,15,12755,12813,59,59x2x17x2,59x2x2,59x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_6_3_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_6_3_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_6_3_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_6_3_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,6,3,41_1_6_5,yolo26x_tracked,bst-compatible,"Top,Bottom",12828,12807,12858,21,12807,12864,58,58x2x17x2,58x2x2,58x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_6_5_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_6_5_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_6_5_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_6_5_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
