video_id,rally_id,event_rank,Frame,OriginalFrame,TimeSec,X,Y,event_reason
43,85,1,6,88026,2934.200000,,,phase02_ground_truth_label
43,85,2,29,88049,2934.966667,,,phase02_ground_truth_label
43,85,3,61,88081,2936.033333,,,phase02_ground_truth_label
43,85,4,89,88109,2936.966667,,,phase02_ground_truth_label
43,85,5,108,88128,2937.600000,,,phase02_ground_truth_label
43,85,6,133,88153,2938.433333,,,phase02_ground_truth_label
43,85,7,158,88178,2939.266667,,,phase02_ground_truth_label
43,85,8,185,88205,2940.166667,,,phase02_ground_truth_label
43,85,9,247,88267,2942.233333,,,phase02_ground_truth_label
43,85,10,273,88293,2943.100000,,,phase02_ground_truth_label
