video_id,rally_id,event_rank,Frame,OriginalFrame,TimeSec,X,Y,event_reason
44,101,1,24,119664,3988.800000,,,phase02_ground_truth_label
44,101,2,56,119696,3989.866667,,,phase02_ground_truth_label
44,101,3,70,119710,3990.333333,,,phase02_ground_truth_label
44,101,4,95,119735,3991.166667,,,phase02_ground_truth_label
44,101,5,121,119761,3992.033333,,,phase02_ground_truth_label
44,101,6,147,119787,3992.900000,,,phase02_ground_truth_label
44,101,7,184,119824,3994.133333,,,phase02_ground_truth_label
44,101,8,197,119837,3994.566667,,,phase02_ground_truth_label
44,101,9,220,119860,3995.333333,,,phase02_ground_truth_label
44,101,10,246,119886,3996.200000,,,phase02_ground_truth_label
44,101,11,290,119930,3997.666667,,,phase02_ground_truth_label
44,101,12,304,119944,3998.133333,,,phase02_ground_truth_label
44,101,13,338,119978,3999.266667,,,phase02_ground_truth_label
44,101,14,363,120003,4000.100000,,,phase02_ground_truth_label
44,101,15,378,120018,4000.600000,,,phase02_ground_truth_label
44,101,16,400,120040,4001.333333,,,phase02_ground_truth_label
44,101,17,435,120075,4002.500000,,,phase02_ground_truth_label
44,101,18,454,120094,4003.133333,,,phase02_ground_truth_label
44,101,19,484,120124,4004.133333,,,phase02_ground_truth_label
44,101,20,515,120155,4005.166667,,,phase02_ground_truth_label
44,101,21,529,120169,4005.633333,,,phase02_ground_truth_label
44,101,22,558,120198,4006.600000,,,phase02_ground_truth_label
44,101,23,597,120237,4007.900000,,,phase02_ground_truth_label
44,101,24,630,120270,4009.000000,,,phase02_ground_truth_label
44,101,25,645,120285,4009.500000,,,phase02_ground_truth_label
