video_id,rally_id,event_rank,Frame,OriginalFrame,TimeSec,X,Y,event_reason
44,78,1,234,91914,3063.800000,,,phase02_ground_truth_label
44,78,2,258,91938,3064.600000,,,phase02_ground_truth_label
44,78,3,294,91974,3065.800000,,,phase02_ground_truth_label
44,78,4,315,91995,3066.500000,,,phase02_ground_truth_label
44,78,5,342,92022,3067.400000,,,phase02_ground_truth_label
44,78,6,370,92050,3068.333333,,,phase02_ground_truth_label
44,78,7,416,92096,3069.866667,,,phase02_ground_truth_label
44,78,8,432,92112,3070.400000,,,phase02_ground_truth_label
44,78,9,455,92135,3071.166667,,,phase02_ground_truth_label
44,78,10,483,92163,3072.100000,,,phase02_ground_truth_label
44,78,11,509,92189,3072.966667,,,phase02_ground_truth_label
44,78,12,533,92213,3073.766667,,,phase02_ground_truth_label
