video_id,rally_id,event_rank,Frame,OriginalFrame,TimeSec,X,Y,event_reason
40,60,1,51,58761,1958.700000,,,phase02_ground_truth_label
40,60,2,73,58783,1959.433333,,,phase02_ground_truth_label
40,60,3,98,58808,1960.266667,,,phase02_ground_truth_label
40,60,4,127,58837,1961.233333,,,phase02_ground_truth_label
40,60,5,182,58892,1963.066667,,,phase02_ground_truth_label
40,60,6,214,58924,1964.133333,,,phase02_ground_truth_label
40,60,7,243,58953,1965.100000,,,phase02_ground_truth_label
40,60,8,272,58982,1966.066667,,,phase02_ground_truth_label
40,60,9,302,59012,1967.066667,,,phase02_ground_truth_label
40,60,10,320,59030,1967.666667,,,phase02_ground_truth_label
40,60,11,346,59056,1968.533333,,,phase02_ground_truth_label
40,60,12,375,59085,1969.500000,,,phase02_ground_truth_label
40,60,13,430,59140,1971.333333,,,phase02_ground_truth_label
40,60,14,460,59170,1972.333333,,,phase02_ground_truth_label
40,60,15,477,59187,1972.900000,,,phase02_ground_truth_label
40,60,16,506,59216,1973.866667,,,phase02_ground_truth_label
