video_id,rally_id,event_rank,Frame,OriginalFrame,TimeSec,X,Y,event_reason
40,36,1,39,39069,1302.300000,,,phase02_ground_truth_label
40,36,2,71,39101,1303.366667,,,phase02_ground_truth_label
40,36,3,86,39116,1303.866667,,,phase02_ground_truth_label
40,36,4,124,39154,1305.133333,,,phase02_ground_truth_label
40,36,5,143,39173,1305.766667,,,phase02_ground_truth_label
40,36,6,169,39199,1306.633333,,,phase02_ground_truth_label
40,36,7,205,39235,1307.833333,,,phase02_ground_truth_label
40,36,8,223,39253,1308.433333,,,phase02_ground_truth_label
40,36,9,248,39278,1309.266667,,,phase02_ground_truth_label
40,36,10,285,39315,1310.500000,,,phase02_ground_truth_label
40,36,11,304,39334,1311.133333,,,phase02_ground_truth_label
40,36,12,321,39351,1311.700000,,,phase02_ground_truth_label
40,36,13,338,39368,1312.266667,,,phase02_ground_truth_label
40,36,14,366,39396,1313.200000,,,phase02_ground_truth_label
40,36,15,404,39434,1314.466667,,,phase02_ground_truth_label
40,36,16,434,39464,1315.466667,,,phase02_ground_truth_label
40,36,17,458,39488,1316.266667,,,phase02_ground_truth_label
40,36,18,490,39520,1317.333333,,,phase02_ground_truth_label
40,36,19,527,39557,1318.566667,,,phase02_ground_truth_label
40,36,20,554,39584,1319.466667,,,phase02_ground_truth_label
40,36,21,597,39627,1320.900000,,,phase02_ground_truth_label
40,36,22,621,39651,1321.700000,,,phase02_ground_truth_label
