video_id,rally_id,predicted_frame_original,ground_truth_frame_num,abs_error,stable_key,clip_id,set_id,gt_rally_id,ball_round_id,stroke_type_ground_truth,player,server
40,2,12159,12159,0,40:1:1:1,40_1_1_1,1,1,1,發長球,B,1
40,2,12223,12223,0,40:1:1:2,40_1_1_2,1,1,2,點扣,A,2
40,2,12236,12236,0,40:1:1:3,40_1_1_3,1,1,3,擋小球,B,2
40,2,12261,12261,0,40:1:1:4,40_1_1_4,1,1,4,放小球,A,2
40,2,12291,12291,0,40:1:1:5,40_1_1_5,1,1,5,放小球,B,2
40,2,12315,12315,0,40:1:1:6,40_1_1_6,1,1,6,挑球,A,2
40,2,12357,12357,0,40:1:1:7,40_1_1_7,1,1,7,過渡切球,B,2
40,2,12380,12380,0,40:1:1:8,40_1_1_8,1,1,8,勾球,A,2
40,2,12412,12412,0,40:1:1:9,40_1_1_9,1,1,9,挑球,B,3
40,3,12779,12779,0,40:1:2:1,40_1_2_1,1,2,1,發長球,A,1
40,3,12839,12839,0,40:1:2:2,40_1_2_2,1,2,2,點扣,B,2
40,3,12852,12852,0,40:1:2:3,40_1_2_3,1,2,3,擋小球,A,2
40,3,12876,12876,0,40:1:2:4,40_1_2_4,1,2,4,平球,B,2
40,3,12892,12892,0,40:1:2:5,40_1_2_5,1,2,5,防守回抽,A,3
40,4,13666,13666,0,40:1:3:1,40_1_3_1,1,3,1,發長球,B,1
40,4,13727,13727,0,40:1:3:2,40_1_3_2,1,3,2,點扣,A,2
40,4,13746,13746,0,40:1:3:3,40_1_3_3,1,3,3,擋小球,B,3
40,5,14100,14100,0,40:1:4:1,40_1_4_1,1,4,1,發長球,A,1
40,5,14158,14158,0,40:1:4:2,40_1_4_2,1,4,2,切球,B,2
40,5,14180,14180,0,40:1:4:3,40_1_4_3,1,4,3,挑球,A,2
40,5,14212,14212,0,40:1:4:4,40_1_4_4,1,4,4,長球,B,3
40,6,14556,14556,0,40:1:5:1,40_1_5_1,1,5,1,發長球,A,1
40,6,14612,14612,0,40:1:5:2,40_1_5_2,1,5,2,切球,B,2
40,6,14638,14638,0,40:1:5:3,40_1_5_3,1,5,3,挑球,A,2
40,6,14671,14671,0,40:1:5:4,40_1_5_4,1,5,4,殺球,B,3
40,7,15208,15208,0,40:1:6:1,40_1_6_1,1,6,1,發長球,B,1
40,7,15271,15271,0,40:1:6:2,40_1_6_2,1,6,2,點扣,A,2
40,7,15286,15286,0,40:1:6:3,40_1_6_3,1,6,3,防守回抽,B,3
40,8,15661,15661,0,40:1:7:1,40_1_7_1,1,7,1,發長球,A,1
40,8,15721,15721,0,40:1:7:2,40_1_7_2,1,7,2,點扣,B,2
40,8,15733,15733,0,40:1:7:3,40_1_7_3,1,7,3,擋小球,A,2
40,8,15759,15759,0,40:1:7:4,40_1_7_4,1,7,4,勾球,B,2
40,8,15785,15785,0,40:1:7:5,40_1_7_5,1,7,5,挑球,A,2
40,8,15817,15817,0,40:1:7:6,40_1_7_6,1,7,6,點扣,B,2
40,8,15829,15829,0,40:1:7:7,40_1_7_7,1,7,7,擋小球,A,2
40,8,15854,15854,0,40:1:7:8,40_1_7_8,1,7,8,推球,B,2
40,8,15874,15874,0,40:1:7:9,40_1_7_9,1,7,9,長球,A,2
40,8,15904,15904,0,40:1:7:10,40_1_7_10,1,7,10,殺球,B,3
40,9,16382,16382,0,40:1:8:1,40_1_8_1,1,8,1,發長球,B,1
40,9,16443,16443,0,40:1:8:2,40_1_8_2,1,8,2,切球,A,2
40,9,16466,16466,0,40:1:8:3,40_1_8_3,1,8,3,放小球,B,2
40,9,16491,16491,0,40:1:8:4,40_1_8_4,1,8,4,推球,A,3
40,10,16906,16906,0,40:1:9:2,40_1_9_2,1,9,2,長球,A,2
40,10,16931,16931,0,40:1:9:3,40_1_9_3,1,9,3,過渡切球,B,2
40,10,16957,16957,0,40:1:9:4,40_1_9_4,1,9,4,挑球,A,2
40,10,16998,16998,0,40:1:9:5,40_1_9_5,1,9,5,切球,B,2
40,10,17023,17023,0,40:1:9:6,40_1_9_6,1,9,6,勾球,A,2
