stable_key,clip_id,match_id,match_name,set_id,source_set_csv,source_row_index,tournament,match_round,match_year,match_month,match_day,match_date,declared_sets,duration_minutes,winner,loser,downcourt,source_url,has_homography,homography_video,homography_matrix,homo_upleft_x,homo_upright_x,homo_downleft_x,homo_downright_x,homo_upleft_y,homo_upright_y,homo_downleft_y,homo_downright_y,rally,rally_id,ball_round,ball_round_id,time,frame_num,frame_num_int,roundscore_A,roundscore_B,score_state,player,server,stroke_type_ground_truth,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,has_outcome,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
44:1:8:1,44_1_8_1,44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,1,project/dataset/ShuttleSet/set/Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals/set1.csv,365,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,2021-01-31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,https://www.youtube.com/watch?v=j7_cjmJDYNU,True,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,291.4,989.6,304.6,303.2,662.8,659.8,8,8,1.0,1,00:12:39,22789.0,22789,5,3,5-3,B,1,未知球種,未知球種,,,2.0,,,,,,,,,,,False,1.0,,,,,,,0
44:1:8:2,44_1_8_2,44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,1,project/dataset/ShuttleSet/set/Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals/set1.csv,366,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,2021-01-31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,https://www.youtube.com/watch?v=j7_cjmJDYNU,True,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,291.4,989.6,304.6,303.2,662.8,659.8,8,8,2.0,2,00:12:39,22789.0,22789,5,3,5-3,A,2,未知球種,未知球種,,,2.0,,,,,,,,,,,False,1.0,,,,,,,0
44:1:12:1,44_1_12_1,44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,1,project/dataset/ShuttleSet/set/Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals/set1.csv,83,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,2021-01-31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,https://www.youtube.com/watch?v=j7_cjmJDYNU,True,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,291.4,989.6,304.6,303.2,662.8,659.8,12,12,1.0,1,00:14:16,25683.0,25683,6,6,6-6,A,1,未知球種,未知球種,,,2.0,,,,,,,,,,,False,1.0,,,,,,,0
44:1:12:2,44_1_12_2,44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,1,project/dataset/ShuttleSet/set/Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals/set1.csv,84,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,2021-01-31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,https://www.youtube.com/watch?v=j7_cjmJDYNU,True,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,291.4,989.6,304.6,303.2,662.8,659.8,12,12,2.0,2,00:14:16,25683.0,25683,6,6,6-6,B,2,未知球種,未知球種,,,2.0,,,,2.0,,,,,,,False,1.0,,,,,,,0
44:1:14:1,44_1_14_1,44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,1,project/dataset/ShuttleSet/set/Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals/set1.csv,107,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,2021-01-31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,https://www.youtube.com/watch?v=j7_cjmJDYNU,True,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,291.4,989.6,304.6,303.2,662.8,659.8,14,14,1.0,1,00:15:55,28675.0,28675,7,7,7-7,B,1,發短球,發短球,,1.0,2.0,,,,2.0,7.0,602.0,491.0,,,,False,,8.0,663.0,360.0,8.0,529.0,536.0,0
44:1:24:1,44_1_24_1,44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,1,project/dataset/ShuttleSet/set/Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals/set1.csv,201,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,2021-01-31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,https://www.youtube.com/watch?v=j7_cjmJDYNU,True,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,291.4,989.6,304.6,303.2,662.8,659.8,24,24,1.0,1,00:22:31,40558.0,40558,14,10,14-10,B,1,發短球,發短球,,1.0,2.0,,,,2.0,7.0,723.0,498.0,,,,False,,8.0,615.0,358.0,8.0,703.0,538.0,0
44:1:26:1,44_1_26_1,44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,1,project/dataset/ShuttleSet/set/Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals/set1.csv,208,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,2021-01-31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,https://www.youtube.com/watch?v=j7_cjmJDYNU,True,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,291.4,989.6,304.6,303.2,662.8,659.8,26,26,1.0,1,00:23:12,41764.0,41764,14,12,14-12,B,1,未知球種,未知球種,,,2.0,,,,2.0,,,,,,,False,1.0,,,,,,,0
44:1:26:2,44_1_26_2,44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,1,project/dataset/ShuttleSet/set/Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals/set1.csv,209,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,2021-01-31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,https://www.youtube.com/watch?v=j7_cjmJDYNU,True,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,291.4,989.6,304.6,303.2,662.8,659.8,26,26,2.0,2,00:23:13,41799.0,41799,14,12,14-12,A,2,平球,平球,,,2.0,,,,1.0,8.0,683.0,359.0,,,,False,,7.0,570.0,481.0,8.0,617.0,362.0,0
44:1:26:3,44_1_26_3,44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,1,project/dataset/ShuttleSet/set/Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals/set1.csv,210,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,2021-01-31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,https://www.youtube.com/watch?v=j7_cjmJDYNU,True,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,291.4,989.6,304.6,303.2,662.8,659.8,26,26,3.0,3,00:23:13,41809.0,41809,14,12,14-12,B,2,推球,推球,,1.0,1.0,8.0,683.0,359.0,1.0,8.0,524.0,579.0,,,,False,,8.0,586.0,361.0,7.0,583.0,493.0,0
44:1:28:1,44_1_28_1,44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,1,project/dataset/ShuttleSet/set/Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals/set1.csv,228,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,2021-01-31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,https://www.youtube.com/watch?v=j7_cjmJDYNU,True,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,291.4,989.6,304.6,303.2,662.8,659.8,28,28,1.0,1,00:24:16,43708.0,43708,14,14,14-14,B,1,未知球種,未知球種,,,2.0,,,,2.0,,,,,,,False,1.0,,,,,,,0
