video_id,match_id,rally_interval_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,sample_count,accepted,reject_reason
32,32,1,10830,11370,361.0,379.0,18.0,18,True,
32,32,2,11670,12060,389.0,402.0,13.0,13,True,
32,32,3,12240,12630,408.0,421.0,13.0,13,True,
32,32,4,12900,13350,430.0,445.0,15.0,15,True,
32,32,5,13980,14550,466.0,485.0,19.0,19,True,
32,32,6,15180,15750,506.0,525.0,19.0,19,True,
32,32,7,16590,16800,553.0,560.0,7.0,7,True,
32,32,8,17250,17580,575.0,586.0,11.0,11,True,
32,32,9,18060,18360,602.0,612.0,10.0,10,True,
32,32,10,18780,19200,626.0,640.0,14.0,14,True,
32,32,11,19680,20520,656.0,684.0,28.0,28,True,
32,32,12,21000,21990,700.0,733.0,33.0,33,True,
32,32,13,23010,23190,767.0,773.0,6.0,6,True,
32,32,14,23340,24000,778.0,800.0,22.0,22,True,
32,32,15,24570,25140,819.0,838.0,19.0,19,True,
32,32,16,25620,26130,854.0,871.0,17.0,17,True,
32,32,17,26700,27450,890.0,915.0,25.0,25,True,
32,32,18,28320,28680,944.0,956.0,12.0,12,True,
32,32,19,29340,29910,978.0,997.0,19.0,19,True,
32,32,20,30480,30750,1016.0,1025.0,9.0,9,True,
32,32,21,31560,31830,1052.0,1061.0,9.0,9,True,
32,32,22,33510,33840,1117.0,1128.0,11.0,11,True,
32,32,23,34830,35490,1161.0,1183.0,22.0,22,True,
32,32,24,36240,36630,1208.0,1221.0,13.0,13,True,
32,32,25,37410,37770,1247.0,1259.0,12.0,12,True,
32,32,26,38340,38730,1278.0,1291.0,13.0,13,True,
32,32,27,39360,40470,1312.0,1349.0,37.0,37,True,
32,32,28,42150,42420,1405.0,1414.0,9.0,9,True,
32,32,29,43650,44160,1455.0,1472.0,17.0,17,True,
32,32,30,44610,45000,1487.0,1500.0,13.0,13,True,
32,32,31,46350,46530,1545.0,1551.0,6.0,6,True,
32,32,32,46710,46980,1557.0,1566.0,9.0,9,True,
32,32,33,47520,47700,1584.0,1590.0,6.0,6,True,
32,32,34,48510,49530,1617.0,1651.0,34.0,34,True,
32,32,35,51180,51270,1706.0,1709.0,3.0,3,True,
32,32,36,51690,52290,1723.0,1743.0,20.0,20,True,
32,32,37,53850,54180,1795.0,1806.0,11.0,11,True,
32,32,38,54600,54900,1820.0,1830.0,10.0,10,True,
32,32,39,55680,56100,1856.0,1870.0,14.0,14,True,
32,32,40,56640,56910,1888.0,1897.0,9.0,9,True,
32,32,41,57210,58050,1907.0,1935.0,28.0,28,True,
32,32,42,58770,59790,1959.0,1993.0,34.0,34,True,
32,32,43,61590,61980,2053.0,2066.0,13.0,13,True,
32,32,44,65340,65790,2178.0,2193.0,15.0,15,True,
32,32,45,66090,66360,2203.0,2212.0,9.0,9,True,
32,32,46,67080,67290,2236.0,2243.0,7.0,7,True,
32,32,47,67770,68550,2259.0,2285.0,26.0,26,True,
32,32,48,69480,69780,2316.0,2326.0,10.0,10,True,
32,32,49,70320,70560,2344.0,2352.0,8.0,8,True,
32,32,50,71250,71760,2375.0,2392.0,17.0,17,True,
32,32,51,72930,73170,2431.0,2439.0,8.0,8,True,
32,32,52,73740,73920,2458.0,2464.0,6.0,6,True,
32,32,53,74400,74850,2480.0,2495.0,15.0,15,True,
32,32,54,75420,75660,2514.0,2522.0,8.0,8,True,
32,32,55,76020,76320,2534.0,2544.0,10.0,10,True,
32,32,56,76890,77490,2563.0,2583.0,20.0,20,True,
32,32,57,78090,78420,2603.0,2614.0,11.0,11,True,
32,32,58,79080,79320,2636.0,2644.0,8.0,8,True,
32,32,59,79650,79920,2655.0,2664.0,9.0,9,True,
32,32,60,81510,82320,2717.0,2744.0,27.0,27,True,
32,32,61,83010,83220,2767.0,2774.0,7.0,7,True,
32,32,62,83940,84060,2798.0,2802.0,4.0,4,True,
32,32,63,84390,84690,2813.0,2823.0,10.0,10,True,
32,32,64,85140,86190,2838.0,2873.0,35.0,35,True,
32,32,65,86910,87180,2897.0,2906.0,9.0,9,True,
32,32,66,87570,87810,2919.0,2927.0,8.0,8,True,
32,32,67,88380,88560,2946.0,2952.0,6.0,6,True,
32,32,68,88950,89880,2965.0,2996.0,31.0,31,True,
32,32,69,90870,90960,3029.0,3032.0,3.0,3,True,
32,32,70,91260,91620,3042.0,3054.0,12.0,12,True,
32,32,71,92070,93210,3069.0,3107.0,38.0,38,True,
32,32,72,94080,94350,3136.0,3145.0,9.0,9,True,
32,32,73,94740,95580,3158.0,3186.0,28.0,28,True,
32,32,74,96600,97110,3220.0,3237.0,17.0,17,True,
32,32,75,97920,98310,3264.0,3277.0,13.0,13,True,
32,32,76,98700,99030,3290.0,3301.0,11.0,11,True,
32,32,77,99330,99690,3311.0,3323.0,12.0,12,True,
32,32,78,102780,103620,3426.0,3454.0,28.0,28,True,
32,32,79,104040,104310,3468.0,3477.0,9.0,9,True,
32,32,80,104610,104880,3487.0,3496.0,9.0,9,True,
32,32,81,105630,106140,3521.0,3538.0,17.0,17,True,
32,32,82,106620,107010,3554.0,3567.0,13.0,13,True,
32,32,83,107730,108300,3591.0,3610.0,19.0,19,True,
32,32,84,109140,109440,3638.0,3648.0,10.0,10,True,
32,32,85,109920,110520,3664.0,3684.0,20.0,20,True,
32,32,86,111450,112350,3715.0,3745.0,30.0,30,True,
32,32,87,113160,113310,3772.0,3777.0,5.0,5,True,
32,32,88,113850,114000,3795.0,3800.0,5.0,5,True,
32,32,89,114690,115200,3823.0,3840.0,17.0,17,True,
32,32,90,116370,116880,3879.0,3896.0,17.0,17,True,
32,32,91,117420,117750,3914.0,3925.0,11.0,11,True,
32,32,92,118260,118470,3942.0,3949.0,7.0,7,True,
32,32,93,118800,119490,3960.0,3983.0,23.0,23,True,
32,32,94,120780,121170,4026.0,4039.0,13.0,13,True,
32,32,95,121680,121830,4056.0,4061.0,5.0,5,True,
32,32,96,122820,123030,4094.0,4101.0,7.0,7,True,
32,32,97,124080,124380,4136.0,4146.0,10.0,10,True,
32,32,98,124650,125040,4155.0,4168.0,13.0,13,True,
32,32,99,126660,127470,4222.0,4249.0,27.0,27,True,
32,32,100,127920,128790,4264.0,4293.0,29.0,29,True,
32,32,101,130230,130920,4341.0,4364.0,23.0,23,True,
32,32,102,131730,132120,4391.0,4404.0,13.0,13,True,
32,32,103,132750,133050,4425.0,4435.0,10.0,10,True,
32,32,104,133470,133710,4449.0,4457.0,8.0,8,True,
32,32,105,135180,135510,4506.0,4517.0,11.0,11,True,
