video_id,rally_id,event_rank,Frame,OriginalFrame,TimeSec,X,Y,event_reason
41,90,1,159,93699,3123.300000,,,phase02_ground_truth_label
41,90,2,180,93720,3124.000000,,,phase02_ground_truth_label
41,90,3,209,93749,3124.966667,,,phase02_ground_truth_label
41,90,4,240,93780,3126.000000,,,phase02_ground_truth_label
41,90,5,286,93826,3127.533333,,,phase02_ground_truth_label
41,90,6,311,93851,3128.366667,,,phase02_ground_truth_label
41,90,7,338,93878,3129.266667,,,phase02_ground_truth_label
41,90,8,376,93916,3130.533333,,,phase02_ground_truth_label
41,90,9,396,93936,3131.200000,,,phase02_ground_truth_label
41,90,10,419,93959,3131.966667,,,phase02_ground_truth_label
41,90,11,449,93989,3132.966667,,,phase02_ground_truth_label
41,90,12,484,94024,3134.133333,,,phase02_ground_truth_label
41,90,13,512,94052,3135.066667,,,phase02_ground_truth_label
41,90,14,546,94086,3136.200000,,,phase02_ground_truth_label
41,90,15,567,94107,3136.900000,,,phase02_ground_truth_label
41,90,16,600,94140,3138.000000,,,phase02_ground_truth_label
41,90,17,630,94170,3139.000000,,,phase02_ground_truth_label
