video_id,rally_id,event_rank,Frame,OriginalFrame,TimeSec,X,Y,event_reason
41,92,1,43,95743,3191.433333,,,phase02_ground_truth_label
41,92,2,68,95768,3192.266667,,,phase02_ground_truth_label
41,92,3,100,95800,3193.333333,,,phase02_ground_truth_label
41,92,4,130,95830,3194.333333,,,phase02_ground_truth_label
41,92,5,168,95868,3195.600000,,,phase02_ground_truth_label
41,92,6,181,95881,3196.033333,,,phase02_ground_truth_label
41,92,7,209,95909,3196.966667,,,phase02_ground_truth_label
41,92,8,247,95947,3198.233333,,,phase02_ground_truth_label
41,92,9,270,95970,3199.000000,,,phase02_ground_truth_label
41,92,10,297,95997,3199.900000,,,phase02_ground_truth_label
41,92,11,338,96038,3201.266667,,,phase02_ground_truth_label
41,92,12,370,96070,3202.333333,,,phase02_ground_truth_label
41,92,13,391,96091,3203.033333,,,phase02_ground_truth_label
41,92,14,402,96102,3203.400000,,,phase02_ground_truth_label
